slug,name,drugbank_id,license_id,evidence_level,indication_count,original_indication,predicted_indication,txgnn_score,thailand_approved,decision,url
warfarin,Warfarin,DB00682,1A 24/67,L4,10,ป้องกันลิ่มเลือด,heparin cofactor 2 deficiency,0.9987,True,รอหลักฐานเพิ่มเติม,/drugs/warfarin/
heparin,Heparin,DB01109,1A 25/67,L4,10,ป้องกันและรักษาลิ่มเลือด,purpura fulminans,0.9972,True,รอหลักฐานเพิ่มเติม,/drugs/heparin/
metformin,Metformin,DB00331,1A 26/67,L4,10,เบาหวานชนิดที่ 2,focal stiff limb syndrome,0.9945,True,รอหลักฐานเพิ่มเติม,/drugs/metformin/
gliclazide,Gliclazide,DB01120,1A 28/67,L5,10,เบาหวานชนิดที่ 2,classic stiff person syndrome,0.9796,True,รอหลักฐานเพิ่มเติม,/drugs/gliclazide/
glimepiride,Glimepiride,DB00222,1A 29/67,L4,10,เบาหวานชนิดที่ 2,diabetes mellitus (disease),0.9977,True,รอหลักฐานเพิ่มเติม,/drugs/glimepiride/
pioglitazone,Pioglitazone,DB01132,1A 30/67,L4,10,เบาหวานชนิดที่ 2,opsismodysplasia,0.9959,True,รอหลักฐานเพิ่มเติม,/drugs/pioglitazone/
paracetamol,Paracetamol,DB00316,1A 32/67,L4,10,"ลดไข้, บรรเทาปวด",migraine with brainstem aura,0.9915,True,รอหลักฐานเพิ่มเติม,/drugs/paracetamol/
ibuprofen,Ibuprofen,DB01050,1A 33/67,L4,10,"บรรเทาปวด, ลดไข้, ต้านการอักเสบ",osteoarthritis susceptibility,0.9990,True,รอหลักฐานเพิ่มเติม,/drugs/ibuprofen/
diclofenac,Diclofenac,DB00586,1A 34/67,L4,10,"บรรเทาปวด, ต้านการอักเสบ",osteoarthritis susceptibility,0.9982,True,รอหลักฐานเพิ่มเติม,/drugs/diclofenac/
naproxen,Naproxen,DB00788,1A 35/67,L4,10,"บรรเทาปวด, ต้านการอักเสบ",osteoarthritis susceptibility,0.9976,True,รอหลักฐานเพิ่มเติม,/drugs/naproxen/
indomethacin,Indomethacin,DB00328,1A 36/67,L4,10,"บรรเทาปวด, ต้านการอักเสบ, เก๊าต์",rheumatoid arthritis,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/indomethacin/
celecoxib,Celecoxib,DB00482,1A 37/67,L4,10,"บรรเทาปวด, ข้อเสื่อม",osteoarthritis susceptibility,0.9997,True,รอหลักฐานเพิ่มเติม,/drugs/celecoxib/
tramadol,Tramadol,DB00193,1A 38/67,L4,10,บรรเทาปวดปานกลางถึงรุนแรง,osteoarthritis susceptibility,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/tramadol/
morphine,Morphine,DB00295,1A 39/67,L4,10,บรรเทาปวดรุนแรง,myofascial pain syndrome,0.9975,True,รอหลักฐานเพิ่มเติม,/drugs/morphine/
omeprazole,Omeprazole,DB00338,1A 40/67,L4,10,"โรคกรดไหลย้อน, แผลในกระเพาะอาหาร",duodenogastric reflux,0.9964,True,รอหลักฐานเพิ่มเติม,/drugs/omeprazole/
pantoprazole,Pantoprazole,DB00213,1A 41/67,L4,10,"โรคกรดไหลย้อน, แผลในกระเพาะอาหาร",peptic esophagitis,0.9987,True,รอหลักฐานเพิ่มเติม,/drugs/pantoprazole/
lansoprazole,Lansoprazole,DB00448,1A 42/67,L4,10,"โรคกรดไหลย้อน, แผลในกระเพาะอาหาร",gastrin secretion abnormality,0.9973,True,รอหลักฐานเพิ่มเติม,/drugs/lansoprazole/
ranitidine,Ranitidine,DB00863,1A 43/67,L4,10,แผลในกระเพาะอาหาร,peptic esophagitis,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/ranitidine/
domperidone,Domperidone,DB01184,1A 44/67,L4,10,"คลื่นไส้อาเจียน, อาหารไม่ย่อย",nephrogenic syndrome of inappropriate antidiuresis,0.9908,True,รอหลักฐานเพิ่มเติม,/drugs/domperidone/
metoclopramide,Metoclopramide,DB01233,1A 45/67,L4,10,คลื่นไส้อาเจียน,gastric ulcer (disease),0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/metoclopramide/
ondansetron,Ondansetron,DB00904,1A 46/67,L5,10,คลื่นไส้อาเจียน,nephrogenic syndrome of inappropriate antidiuresis,0.9865,True,รอหลักฐานเพิ่มเติม,/drugs/ondansetron/
loperamide,Loperamide,DB00836,1A 47/67,L4,10,ท้องเสีย,acute contagious conjunctivitis,0.9997,True,รอหลักฐานเพิ่มเติม,/drugs/loperamide/
amoxicillin,Amoxicillin,DB01060,1A 48/67,L4,10,โรคติดเชื้อแบคทีเรีย,hyperamylasemia,0.9963,True,รอหลักฐานเพิ่มเติม,/drugs/amoxicillin/
ampicillin,Ampicillin,DB00415,1A 49/67,L4,10,โรคติดเชื้อแบคทีเรีย,epiglottitis,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/ampicillin/
azithromycin,Azithromycin,DB00207,1A 50/67,L4,10,"โรคติดเชื้อแบคทีเรีย, ติดเชื้อทางเดินหายใจ",conjunctivitis,0.9982,True,รอหลักฐานเพิ่มเติม,/drugs/azithromycin/
ciprofloxacin,Ciprofloxacin,DB00537,1A 51/67,L4,10,"โรคติดเชื้อแบคทีเรีย, ติดเชื้อทางเดินปัสสาวะ",paratyphoid fever,0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/ciprofloxacin/
clarithromycin,Clarithromycin,DB01211,1A 52/67,L4,10,โรคติดเชื้อแบคทีเรีย,polyclonal hyperviscosity syndrome,0.9935,True,รอหลักฐานเพิ่มเติม,/drugs/clarithromycin/
doxycycline,Doxycycline,DB00254,1A 53/67,L4,10,โรคติดเชื้อแบคทีเรีย,punctate epithelial keratoconjunctivitis,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/doxycycline/
erythromycin,Erythromycin,DB00199,1A 54/67,L4,10,โรคติดเชื้อแบคทีเรีย,punctate epithelial keratoconjunctivitis,0.9989,True,รอหลักฐานเพิ่มเติม,/drugs/erythromycin/
metronidazole,Metronidazole,DB00916,1A 55/67,L4,10,โรคติดเชื้อแบคทีเรียและปรสิต,pneumocystosis,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/metronidazole/
ceftriaxone,Ceftriaxone,DB01212,1A 56/67,L4,10,โรคติดเชื้อแบคทีเรียรุนแรง,hyperamylasemia,0.9939,True,รอหลักฐานเพิ่มเติม,/drugs/ceftriaxone/
cephalexin,Cephalexin,DB00567,1A 57/67,L4,10,โรคติดเชื้อแบคทีเรีย,bacterial arthritis,0.9967,True,รอหลักฐานเพิ่มเติม,/drugs/cephalexin/
clindamycin,Clindamycin,DB01190,1A 58/67,L4,10,โรคติดเชื้อแบคทีเรีย,punctate epithelial keratoconjunctivitis,0.9997,True,รอหลักฐานเพิ่มเติม,/drugs/clindamycin/
gentamicin,Gentamicin,DB00798,1A 59/67,L5,10,โรคติดเชื้อแบคทีเรียรุนแรง,rheumatoid arthritis,0.9776,True,รอหลักฐานเพิ่มเติม,/drugs/gentamicin/
vancomycin,Vancomycin,DB00512,1A 60/67,L4,10,โรคติดเชื้อแบคทีเรียดื้อยา,bacterial arthritis,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/vancomycin/
salbutamol,Salbutamol,DB01001,1A 61/67,L4,10,"โรคหอบหืด, โรคปอดอุดกั้นเรื้อรัง",papillary conjunctivitis,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/salbutamol/
budesonide,Budesonide,DB01222,1A 62/67,L4,10,โรคหอบหืด,atopic eczema,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/budesonide/
fluticasone,Fluticasone,DB13867,1A 63/67,L4,10,"โรคหอบหืด, โรคจมูกอักเสบ",migraine disorder,0.9920,True,รอหลักฐานเพิ่มเติม,/drugs/fluticasone/
montelukast,Montelukast,DB00471,1A 64/67,L4,10,"โรคหอบหืด, โรคภูมิแพ้",bronchitis,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/montelukast/
theophylline,Theophylline,DB00277,1A 65/67,L4,10,โรคหอบหืด,bronchitis,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/theophylline/
cetirizine,Cetirizine,DB00341,1A 66/67,L4,10,"โรคภูมิแพ้, ลมพิษ",allergic urticaria,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/cetirizine/
loratadine,Loratadine,DB00455,1A 67/67,L4,10,"โรคภูมิแพ้, ลมพิษ",papillary conjunctivitis,0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/loratadine/
chlorpheniramine,Chlorpheniramine,DB01114,1A 68/67,L4,10,"อาการแพ้, ลมพิษ, คัดจมูก",papillary conjunctivitis,0.9988,True,รอหลักฐานเพิ่มเติม,/drugs/chlorpheniramine/
diphenhydramine,Diphenhydramine,DB01075,1A 69/67,L4,10,"อาการแพ้, นอนไม่หลับ",papillary conjunctivitis,0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/diphenhydramine/
prednisolone,Prednisolone,DB00860,1A 70/67,L4,10,"ต้านการอักเสบ, ภูมิแพ้รุนแรง",alopecia areata,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/prednisolone/
dexamethasone,Dexamethasone,DB01234,1A 71/67,L4,10,ต้านการอักเสบ,alopecia areata,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/dexamethasone/
diazepam,Diazepam,DB00829,1A 72/67,L4,10,"วิตกกังวล, ชัก, กล้ามเนื้อเกร็ง",insomnia (disease),1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/diazepam/
lorazepam,Lorazepam,DB00186,1A 73/67,L4,10,"วิตกกังวล, นอนไม่หลับ",trigeminal nerve neoplasm,0.9987,True,รอหลักฐานเพิ่มเติม,/drugs/lorazepam/
alprazolam,Alprazolam,DB00404,1A 74/67,L4,10,"วิตกกังวล, โรคตื่นตระหนก",insomnia (disease),0.9981,True,รอหลักฐานเพิ่มเติม,/drugs/alprazolam/
fluoxetine,Fluoxetine,DB00472,1A 75/67,L4,10,"โรคซึมเศร้า, โรคย้ำคิดย้ำทำ",obsessive-compulsive disorder,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/fluoxetine/
sertraline,Sertraline,DB01104,1A 76/67,L4,10,"โรคซึมเศร้า, โรควิตกกังวล",obsessive-compulsive disorder,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/sertraline/
amitriptyline,Amitriptyline,DB00321,1A 77/67,L5,10,"โรคซึมเศร้า, ปวดประสาท",anxiety disorder,0.9849,True,รอหลักฐานเพิ่มเติม,/drugs/amitriptyline/
haloperidol,Haloperidol,DB00502,1A 78/67,L4,10,"โรคจิต, อาการกระวนกระวาย",schizophrenia,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/haloperidol/
risperidone,Risperidone,DB00734,1A 79/67,L4,10,โรคจิตเภท,manic bipolar affective disorder,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/risperidone/
olanzapine,Olanzapine,DB00334,1A 80/67,L4,10,"โรคจิตเภท, โรคไบโพลาร์",manic bipolar affective disorder,0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/olanzapine/
carbamazepine,Carbamazepine,DB00564,1A 81/67,L4,10,"โรคลมชัก, ปวดประสาท",trigeminal nerve neoplasm,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/carbamazepine/
phenytoin,Phenytoin,DB00252,1A 82/67,L4,10,โรคลมชัก,trigeminal nerve neoplasm,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/phenytoin/
valproicacid,Valproicacid,DB00313,1A 83/67,L4,10,"โรคลมชัก, โรคไบโพลาร์",trigeminal nerve neoplasm,0.9997,True,รอหลักฐานเพิ่มเติม,/drugs/valproicacid/
gabapentin,Gabapentin,DB00996,1A 84/67,L4,10,"ปวดประสาท, โรคลมชัก",restless legs syndrome,0.9983,True,รอหลักฐานเพิ่มเติม,/drugs/gabapentin/
levetiracetam,Levetiracetam,DB01202,1A 85/67,L4,10,โรคลมชัก,visual epilepsy,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/levetiracetam/
levothyroxine,Levothyroxine,DB00451,1A 86/67,L4,10,ภาวะไทรอยด์ต่ำ,differentiated thyroid carcinoma,0.9985,True,รอหลักฐานเพิ่มเติม,/drugs/levothyroxine/
propylthiouracil,Propylthiouracil,DB00550,1A 87/67,L4,10,ภาวะไทรอยด์เป็นพิษ,hyperthyroidism,0.9977,True,รอหลักฐานเพิ่มเติม,/drugs/propylthiouracil/
allopurinol,Allopurinol,DB00437,1A 88/67,L4,10,"เก๊าต์, กรดยูริกในเลือดสูง",hepatic porphyria,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/allopurinol/
colchicine,Colchicine,DB01394,1A 89/67,L4,10,เก๊าต์เฉียบพลัน,autosomal recessive familial Mediterranean fever,0.9969,True,รอหลักฐานเพิ่มเติม,/drugs/colchicine/
fluconazole,Fluconazole,DB00196,1A 90/67,L4,10,โรคติดเชื้อรา,candidiasis,0.9964,True,รอหลักฐานเพิ่มเติม,/drugs/fluconazole/
itraconazole,Itraconazole,DB01167,1A 91/67,L4,10,โรคติดเชื้อรา,pneumocystosis,0.9934,True,รอหลักฐานเพิ่มเติม,/drugs/itraconazole/
clotrimazole,Clotrimazole,DB00257,1A 92/67,L4,10,โรคติดเชื้อราที่ผิวหนัง,cutaneous candidiasis,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/clotrimazole/
acyclovir,Acyclovir,DB00787,1A 93/67,L4,10,"โรคเริม, งูสวัด",chickenpox,0.9983,True,รอหลักฐานเพิ่มเติม,/drugs/acyclovir/
oseltamivir,Oseltamivir,DB00198,1A 94/67,L5,10,ไข้หวัดใหญ่,"influenza, severe, susceptibility to",0.9872,True,รอหลักฐานเพิ่มเติม,/drugs/oseltamivir/
folicacid,Folicacid,DB00158,1A 95/67,L4,10,ป้องกันและรักษาภาวะขาดโฟลิก,biotin metabolic disease,0.9949,True,รอหลักฐานเพิ่มเติม,/drugs/folicacid/
ferroussulfate,Ferroussulfate,DB13257,1A 96/67,L4,10,ภาวะโลหิตจางจากขาดธาตุเหล็ก,iron deficiency anemia,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/ferroussulfate/
calciumcarbonate,Calciumcarbonate,DB06724,1A 97/67,L5,10,เสริมแคลเซียม,hypercalcemia disease,0.9439,True,รอหลักฐานเพิ่มเติม,/drugs/calciumcarbonate/
vitamind,Vitamind,DB11094,1A 98/67,L5,10,ป้องกันและรักษาภาวะขาดวิตามินดี,primary release disorder of platelets,0.9311,True,รอหลักฐานเพิ่มเติม,/drugs/vitamind/
timolol,Timolol,DB00373,1A 99/67,L5,10,ต้อหิน,primary hereditary glaucoma,0.9864,True,รอหลักฐานเพิ่มเติม,/drugs/timolol/
latanoprost,Latanoprost,DB00654,1A 100/67,L4,10,"ต้อหิน, ความดันในตาสูง",primary hereditary glaucoma,0.9988,True,รอหลักฐานเพิ่มเติม,/drugs/latanoprost/
brimonidine,Brimonidine,DB00484,1A 101/67,L5,10,ต้อหิน,papillary conjunctivitis,0.9849,True,รอหลักฐานเพิ่มเติม,/drugs/brimonidine/
tenofovir,Tenofovir,DB14126,1A 102/67,L4,10,"ไวรัสตับอักเสบบี, เอชไอวี",HIV infectious disease,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/tenofovir/
lamivudine,Lamivudine,DB00709,1A 103/67,L4,10,"ไวรัสตับอักเสบบี, เอชไอวี",HIV infectious disease,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/lamivudine/
efavirenz,Efavirenz,DB00625,1A 104/67,L4,10,เอชไอวี,HIV infectious disease,0.9988,True,รอหลักฐานเพิ่มเติม,/drugs/efavirenz/
terbinafine,Terbinafine,DB00857,1A 105/67,L4,10,เชื้อราผิวหนัง,tinea corporis,0.9986,True,รอหลักฐานเพิ่มเติม,/drugs/terbinafine/
nystatin,Nystatin,DB00646,1A 106/67,L4,10,เชื้อราในช่องปาก,vulvovaginal candidiasis,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/nystatin/
chloroquine,Chloroquine,DB00608,1A 107/67,L4,10,มาลาเรีย,rheumatoid factor-positive polyarticular juvenile idiopathic arthritis,0.9941,True,รอหลักฐานเพิ่มเติม,/drugs/chloroquine/
mefloquine,Mefloquine,DB00358,1A 108/67,L5,10,มาลาเรีย,malaria,0.9764,True,รอหลักฐานเพิ่มเติม,/drugs/mefloquine/
primaquine,Primaquine,DB01087,1A 109/67,L4,10,มาลาเรีย,myiasis,0.9976,True,รอหลักฐานเพิ่มเติม,/drugs/primaquine/
albendazole,Albendazole,DB00518,1A 110/67,L4,10,พยาธิ,echinococcus granulosus infectious disease,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/albendazole/
mebendazole,Mebendazole,DB00643,1A 111/67,L4,10,พยาธิ,acne (disease),0.9920,True,รอหลักฐานเพิ่มเติม,/drugs/mebendazole/
praziquantel,Praziquantel,DB01058,1A 112/67,L5,10,พยาธิใบไม้ตับ,uterine corpus epithelioid leiomyosarcoma,0.9728,True,รอหลักฐานเพิ่มเติม,/drugs/praziquantel/
ivermectin,Ivermectin,DB00602,1A 113/67,L4,10,"พยาธิ, เหา",vulvovaginal candidiasis,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/ivermectin/
isoniazid,Isoniazid,DB00951,1A 114/67,L4,10,วัณโรค,conjunctivitis,0.9936,True,รอหลักฐานเพิ่มเติม,/drugs/isoniazid/
rifampicin,Rifampicin,DB01045,1A 115/67,L4,10,วัณโรค,conjunctivitis,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/rifampicin/
ethambutol,Ethambutol,DB00330,1A 116/67,L4,10,วัณโรค,epiglottitis,0.9990,True,รอหลักฐานเพิ่มเติม,/drugs/ethambutol/
pyrazinamide,Pyrazinamide,DB00339,1A 117/67,L4,10,วัณโรค,infectious otitis media,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/pyrazinamide/
cyclosporine,Cyclosporine,DB00091,1A 118/67,L4,10,"ป้องกันการปฏิเสธอวัยวะ, โรคภูมิคุ้มกันผิดปกติ",xerophthalmia,0.9992,True,รอหลักฐานเพิ่มเติม,/drugs/cyclosporine/
tacrolimus,Tacrolimus,DB00864,1A 119/67,L4,10,ป้องกันการปฏิเสธอวัยวะ,atopic eczema,0.9956,True,รอหลักฐานเพิ่มเติม,/drugs/tacrolimus/
azathioprine,Azathioprine,DB00993,1A 120/67,L4,10,โรคภูมิคุ้มกันผิดปกติ,rheumatoid arthritis,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/azathioprine/
enoxaparin,Enoxaparin,DB01225,1A 122/67,L4,10,ป้องกันลิ่มเลือด,purpura fulminans,0.9981,True,รอหลักฐานเพิ่มเติม,/drugs/enoxaparin/
rivaroxaban,Rivaroxaban,DB06228,1A 123/67,L4,10,"ป้องกันลิ่มเลือด, หัวใจเต้นผิดจังหวะ",rheumatoid arthritis,0.9957,True,รอหลักฐานเพิ่มเติม,/drugs/rivaroxaban/
dabigatran,Dabigatran,DB14726,1A 124/67,L5,10,"ป้องกันลิ่มเลือด, หัวใจเต้นผิดจังหวะ",hemoglobinopathy,0.9843,True,รอหลักฐานเพิ่มเติม,/drugs/dabigatran/
testosterone,Testosterone,DB00624,1A 125/67,L5,10,ภาวะขาดฮอร์โมนเพศชาย,androgen insensitivity syndrome,0.9750,True,รอหลักฐานเพิ่มเติม,/drugs/testosterone/
estradiol,Estradiol,DB00783,1A 126/67,L4,10,ภาวะขาดฮอร์โมนเพศหญิง,acne (disease),0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/estradiol/
progesterone,Progesterone,DB00396,1A 127/67,L4,10,ภาวะขาดฮอร์โมน,amenorrhea (disease),1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/progesterone/
cabergoline,Cabergoline,DB00248,1A 128/67,L4,10,โพรแลกตินสูง,familial hyperprolactinemia,0.9938,True,รอหลักฐานเพิ่มเติม,/drugs/cabergoline/
lactulose,Lactulose,DB00581,1A 129/67,L4,10,"ท้องผูก, โรคตับ",acute urate nephropathy,0.9989,True,รอหลักฐานเพิ่มเติม,/drugs/lactulose/
sucralfate,Sucralfate,DB00364,1A 130/67,L4,10,แผลในกระเพาะอาหาร,duodenal ulcer (disease),0.9948,True,รอหลักฐานเพิ่มเติม,/drugs/sucralfate/
tamsulosin,Tamsulosin,DB00706,1A 131/67,L4,10,ต่อมลูกหมากโต,benign prostatic hyperplasia (disease),1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/tamsulosin/
finasteride,Finasteride,DB01216,1A 132/67,L4,10,"ต่อมลูกหมากโต, ผมร่วง",Ambras type hypertrichosis universalis congenita,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/finasteride/
sildenafil,Sildenafil,DB00203,1A 133/67,L5,10,การแข็งตัวขององคชาต,Ambras type hypertrichosis universalis congenita,0.9841,True,รอหลักฐานเพิ่มเติม,/drugs/sildenafil/
tadalafil,Tadalafil,DB00820,1A 134/67,L4,10,"การแข็งตัวขององคชาต, ต่อมลูกหมากโต",Ambras type hypertrichosis universalis congenita,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/tadalafil/
tretinoin,Tretinoin,DB00755,1A 135/67,L4,10,สิว,acne (disease),0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/tretinoin/
isotretinoin,Isotretinoin,DB00982,1A 136/67,L4,10,สิวรุนแรง,malignant hypertensive renal disease,0.9901,True,รอหลักฐานเพิ่มเติม,/drugs/isotretinoin/
calcipotriol,Calcipotriol,DB02300,1A 137/67,L4,10,สะเก็ดเงิน,seborrheic keratosis,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/calcipotriol/
lidocaine,Lidocaine,DB00281,1A 138/67,L4,10,"ยาชา, หัวใจเต้นผิดจังหวะ",punctate epithelial keratoconjunctivitis,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/lidocaine/
bupivacaine,Bupivacaine,DB00297,1A 139/67,L4,10,ยาชา,dermatitis,0.9949,True,รอหลักฐานเพิ่มเติม,/drugs/bupivacaine/
propofol,Propofol,DB00818,1A 140/67,L4,10,ยาสลบ,migraine disorder,0.9969,True,รอหลักฐานเพิ่มเติม,/drugs/propofol/
ketamine,Ketamine,DB01221,1A 141/67,L4,10,"ยาสลบ, ซึมเศร้า",headache disorder,0.9933,True,รอหลักฐานเพิ่มเติม,/drugs/ketamine/
baclofen,Baclofen,DB00181,1A 142/67,L4,10,กล้ามเนื้อหดเกร็ง,attention deficit-hyperactivity disorder,0.9932,True,รอหลักฐานเพิ่มเติม,/drugs/baclofen/
tizanidine,Tizanidine,DB00697,1A 143/67,L4,10,กล้ามเนื้อหดเกร็ง,migraine disorder,0.9979,True,รอหลักฐานเพิ่มเติม,/drugs/tizanidine/
orphenadrine,Orphenadrine,DB01173,1A 144/67,L4,10,ปวดกล้ามเนื้อ,retinal dystrophy with or without extraocular anomalies,0.9929,True,รอหลักฐานเพิ่มเติม,/drugs/orphenadrine/
